Date,Symbol,Type,Entry Price,Exit Price,Entry Time,Exit Time,Exit Reason,PnL,Trade Count
2024-01-03,ADANIENT,SELL,3006.3,3014.4,2024-01-03 11:05:00,2024-01-03 11:10:00,Stop Loss,-8.1,29
2024-01-04,ADANIENT,SELL,3006.65,3015.0,2024-01-04 09:30:00,2024-01-04 09:45:00,Stop Loss,-8.35,11
2024-01-05,ADANIENT,BUY,3019.0,3010.95,2024-01-05 09:25:00,2024-01-05 09:35:00,Stop Loss,-8.05,8
2024-01-05,ADANIENT,SELL,2992.75,3006.1,2024-01-05 14:15:00,2024-01-05 14:35:00,Stop Loss,-13.35,36
2024-01-08,ADANIENT,SELL,3003.9,2987.0,2024-01-08 09:25:00,2024-01-08 09:45:00,Target Hit,16.9,7
2024-01-09,ADANIENT,BUY,3002.2,2993.55,2024-01-09 09:25:00,2024-01-09 09:40:00,Stop Loss,-8.65,10
2024-01-10,ADANIENT,BUY,3060.0,3076.05,2024-01-10 09:35:00,2024-01-10 09:40:00,Target Hit,16.05,23
2024-01-11,ADANIENT,SELL,3090.65,3070.0,2024-01-11 09:30:00,2024-01-11 14:10:00,Target Hit,20.65,10
2024-01-12,ADANIENT,SELL,3073.0,3086.2,2024-01-12 09:30:00,2024-01-12 09:40:00,Stop Loss,-13.2,15
2024-01-12,ADANIENT,BUY,3097.9,3088.9,2024-01-12 09:55:00,2024-01-12 12:00:00,Stop Loss,-9.0,26
2024-01-15,ADANIENT,SELL,3111.0,3090.9,2024-01-15 09:30:00,2024-01-15 09:50:00,Target Hit,20.1,11
2024-01-16,ADANIENT,SELL,3082.0,3063.95,2024-01-16 09:50:00,2024-01-16 10:25:00,Target Hit,18.05,20
2024-01-17,ADANIENT,SELL,3006.25,2989.85,2024-01-17 11:15:00,2024-01-17 11:45:00,Target Hit,16.4,20
2024-01-18,ADANIENT,SELL,2950.0,2916.3,2024-01-18 09:35:00,2024-01-18 09:45:00,Target Hit,33.7,19
2024-01-19,ADANIENT,SELL,2923.25,2931.0,2024-01-19 11:15:00,2024-01-19 12:05:00,Stop Loss,-7.75,28
2024-01-20,ADANIENT,SELL,2921.0,2903.2,2024-01-20 09:40:00,2024-01-20 10:00:00,Target Hit,17.8,17
2024-01-20,ADANIENT,BUY,2964.9,2956.1,2024-01-20 14:30:00,2024-01-20 14:40:00,Stop Loss,-8.8,32
2024-01-23,ADANIENT,SELL,2972.55,2988.0,2024-01-23 10:40:00,2024-01-23 10:50:00,Stop Loss,-15.45,28
2024-01-24,ADANIENT,SELL,2881.65,2890.05,2024-01-24 11:30:00,2024-01-24 11:35:00,Stop Loss,-8.4,27
2024-01-25,ADANIENT,SELL,2895.15,2875.7,2024-01-25 09:30:00,2024-01-25 10:10:00,Target Hit,19.45,9
2024-01-29,ADANIENT,BUY,2987.65,3017.45,2024-01-29 09:20:00,2024-01-29 09:25:00,Target Hit,29.8,1
2024-01-30,ADANIENT,SELL,3028.45,3051.8,2024-01-30 09:25:00,2024-01-30 09:30:00,Stop Loss,-23.35,12
2024-01-30,ADANIENT,BUY,3103.0,3094.0,2024-01-30 11:25:00,2024-01-30 11:45:00,Stop Loss,-9.0,25
2024-01-31,ADANIENT,BUY,3105.15,3096.25,2024-01-31 09:20:00,2024-01-31 10:05:00,Stop Loss,-8.9,3
2024-01-31,ADANIENT,SELL,3079.1,3092.0,2024-01-31 12:50:00,2024-01-31 12:55:00,Stop Loss,-12.9,36
2024-02-01,ADANIENT,SELL,3134.0,3149.25,2024-02-01 09:20:00,2024-02-01 09:25:00,Stop Loss,-15.25,3
2024-02-01,ADANIENT,BUY,3215.3,3198.35,2024-02-01 14:05:00,2024-02-01 14:10:00,Stop Loss,-16.95,34
2024-02-02,ADANIENT,SELL,3164.05,3174.45,2024-02-02 10:15:00,2024-02-02 10:50:00,Stop Loss,-10.4,21
2024-02-02,ADANIENT,BUY,3195.0,3186.65,2024-02-02 11:55:00,2024-02-02 12:20:00,Stop Loss,-8.35,29
2024-02-05,ADANIENT,BUY,3185.05,3174.0,2024-02-05 09:45:00,2024-02-05 10:10:00,Stop Loss,-11.05,15
2024-02-06,ADANIENT,SELL,3170.7,3179.8,2024-02-06 09:20:00,2024-02-06 09:30:00,Stop Loss,-9.1,2
2024-02-06,ADANIENT,BUY,3221.45,3211.8,2024-02-06 10:40:00,2024-02-06 10:50:00,Stop Loss,-9.65,25
2024-02-07,ADANIENT,SELL,3214.4,3248.15,2024-02-07 09:25:00,2024-02-07 09:55:00,Stop Loss,-33.75,11
2024-02-07,ADANIENT,BUY,3248.15,3270.0,2024-02-07 09:55:00,2024-02-07 10:05:00,Target Hit,21.85,26
2024-02-08,ADANIENT,SELL,3210.0,3183.75,2024-02-08 09:30:00,2024-02-08 11:00:00,Target Hit,26.25,13
2024-02-09,ADANIENT,BUY,3207.55,3193.65,2024-02-09 09:20:00,2024-02-09 09:35:00,Stop Loss,-13.9,3
2024-02-09,ADANIENT,SELL,3159.5,3173.5,2024-02-09 09:50:00,2024-02-09 10:05:00,Stop Loss,-14.0,24
2024-02-12,ADANIENT,SELL,3205.0,3187.8,2024-02-12 09:40:00,2024-02-12 09:55:00,Target Hit,17.2,15
2024-02-13,ADANIENT,SELL,3151.95,3121.05,2024-02-13 09:20:00,2024-02-13 09:25:00,Target Hit,30.9,1
2024-02-15,ADANIENT,SELL,3208.85,3219.2,2024-02-15 09:55:00,2024-02-15 10:45:00,Stop Loss,-10.35,20
2024-02-15,ADANIENT,BUY,3236.05,3221.4,2024-02-15 12:10:00,2024-02-15 12:20:00,Stop Loss,-14.65,29
2024-02-16,ADANIENT,BUY,3219.95,3211.8,2024-02-16 09:25:00,2024-02-16 09:30:00,Stop Loss,-8.15,9
2024-02-16,ADANIENT,SELL,3200.55,3209.0,2024-02-16 09:40:00,2024-02-16 10:00:00,Stop Loss,-8.45,16
2024-02-19,ADANIENT,BUY,3289.55,3276.95,2024-02-19 09:20:00,2024-02-19 09:30:00,Stop Loss,-12.6,2
2024-02-20,ADANIENT,SELL,3232.1,3214.0,2024-02-20 10:40:00,2024-02-20 11:25:00,Target Hit,18.1,28
2024-02-21,ADANIENT,BUY,3262.95,3252.25,2024-02-21 10:05:00,2024-02-21 10:45:00,Stop Loss,-10.7,23
2024-02-21,ADANIENT,SELL,3223.2,3225.3,2024-02-21 14:35:00,2024-02-21 15:15:00,Time Exit,-2.1,37
2024-02-22,ADANIENT,SELL,3216.65,3226.65,2024-02-22 10:55:00,2024-02-22 12:00:00,Stop Loss,-10.0,26
2024-02-22,ADANIENT,BUY,3247.75,3270.9,2024-02-22 14:45:00,2024-02-22 15:15:00,Target Hit,23.15,37
2024-02-23,ADANIENT,SELL,3255.75,3239.25,2024-02-23 10:05:00,2024-02-23 10:25:00,Target Hit,16.5,20
2024-02-23,ADANIENT,BUY,3274.1,3296.15,2024-02-23 12:20:00,2024-02-23 14:15:00,Target Hit,22.05,32
2024-02-26,ADANIENT,BUY,3306.6,3291.45,2024-02-26 09:20:00,2024-02-26 09:25:00,Stop Loss,-15.15,3
2024-02-27,ADANIENT,SELL,3315.55,3323.9,2024-02-27 09:30:00,2024-02-27 10:00:00,Stop Loss,-8.35,11
2024-02-28,ADANIENT,SELL,3296.3,3278.55,2024-02-28 10:00:00,2024-02-28 10:45:00,Target Hit,17.75,20
2024-02-29,ADANIENT,SELL,3210.85,3227.95,2024-02-29 09:20:00,2024-02-29 09:25:00,Stop Loss,-17.1,1
2024-02-29,ADANIENT,BUY,3237.0,3227.0,2024-02-29 09:30:00,2024-02-29 09:35:00,Stop Loss,-10.0,14
2024-03-01,ADANIENT,BUY,3320.8,3307.95,2024-03-01 09:20:00,2024-03-01 09:30:00,Stop Loss,-12.85,2
2024-03-01,ADANIENT,SELL,3294.65,3307.0,2024-03-01 09:50:00,2024-03-01 11:40:00,Stop Loss,-12.35,16
2024-03-04,ADANIENT,SELL,3333.0,3315.0,2024-03-04 09:25:00,2024-03-04 14:40:00,Target Hit,18.0,17
2024-03-05,ADANIENT,BUY,3331.4,3321.45,2024-03-05 09:20:00,2024-03-05 09:30:00,Stop Loss,-9.95,3
2024-03-05,ADANIENT,SELL,3299.0,3311.6,2024-03-05 11:15:00,2024-03-05 11:40:00,Stop Loss,-12.6,32
2024-03-06,ADANIENT,SELL,3288.65,3267.0,2024-03-06 09:25:00,2024-03-06 09:45:00,Target Hit,21.65,9
2024-03-07,ADANIENT,SELL,3236.1,3245.35,2024-03-07 10:35:00,2024-03-07 12:45:00,Stop Loss,-9.25,22
